EpochGMT,Weekday,Holiday name
1475452800,Monday,Muharram
1475452800,Monday,World Habitat Day
1475452800,Monday,Child Health Day
1475539200,Tuesday,Feast of St Francis of Assisi
1475625600,Wednesday,World Teachers' Day
1475625600,Wednesday,World Cerebral Palsy Day
1475971200,Sunday,World Post Day
1475971200,Sunday,Leif Erikson Day
1476057600,Monday,World Mental Health Day
1476057600,Monday,Columbus Day
1476057600,Monday,Columbus Day
1476057600,Monday,Native Americans' Day
1476057600,Monday,Indigenous People's Day
1476144000,Tuesday,International Day of the Girl Child
1476230400,Wednesday,Yom Kippur
1476230400,Wednesday,Yom Kippur
1476230400,Wednesday,International Day for Natural Disaster Reduction
1476316800,Thursday,World Sight Day
1476316800,Thursday,U.S. Navy Birthday
1476489600,Saturday,International Day of Rural Women
1476489600,Saturday,White Cane Safety Day
1476576000,Sunday,World Food Day
1476662400,Monday,First Day of Sukkot
1476662400,Monday,International Day for the Eradication of Poverty
1476662400,Monday,Boss's Day
1476748800,Tuesday,Alaska Day
1477180800,Sunday,Last Day of Sukkot
1477267200,Monday,Shmini Atzeret
1477267200,Monday,United Nations Day
1477267200,Monday,World Development Information Day
1477353600,Tuesday,Simchat Torah
1477526400,Thursday,World Day for Audiovisual Heritage
1477612800,Friday,Nevada Day
1477699200,Saturday,World Stroke Day
1477699200,Saturday,Diwali/Deepavali
1477872000,Monday,Halloween
1477958400,Tuesday,All Saints' Day
1477958400,Tuesday,World Vegan Day
1478044800,Wednesday,All Souls' Day
1478044800,Wednesday,International Day to End Impunity for Crimes against Journalists
1478390400,Sunday,Daylight Saving Time ends
1478390400,Sunday,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict
1478563200,Tuesday,Election Day
1478563200,Tuesday,Election Day
1478736000,Thursday,World Science Day for Peace and Development
1478736000,Thursday,Marine Corps Birthday
1478736000,Thursday,Return Day Delaware
1478822400,Friday,Veterans Day
1478908800,Saturday,World Pneumonia Day
1479081600,Monday,World Diabetes Day
1479254400,Wednesday,International Day for Tolerance
1479340800,Thursday,World Philosophy Day
1479340800,Thursday,World Prematurity Day
1479513600,Saturday,World Toilet Day
1479513600,Saturday,International Men's Day
1479600000,Sunday,World Day of Remembrance for Road Traffic Victims
1479600000,Sunday,Universal Children's Day
1479600000,Sunday,Africa Industrialization Day
1479686400,Monday,World Television Day
1479945600,Thursday,Thanksgiving Day
1480032000,Friday,International Day for the Elimination of Violence against Women
1480032000,Friday,State Holiday
1480032000,Friday,Presidents' Day
1480032000,Friday,Lincoln's Birthday/Lincoln's Day
1480032000,Friday,Black Friday
1480032000,Friday,American Indian Heritage Day
1480204800,Sunday,First Sunday of Advent
1480291200,Monday,Cyber Monday
1480377600,Tuesday,International Day of Solidarity with the Palestinian People
1480550400,Thursday,World AIDS Day
1480636800,Friday,International Day for the Abolition of Slavery
1480723200,Saturday,International Day of Persons with Disabilities
1480896000,Monday,International Volunteer Day for Economic and Social Development
1480896000,Monday,World Soil Day
1480982400,Tuesday,St Nicholas' Day
1481068800,Wednesday,International Civil Aviation Day
1481068800,Wednesday,Pearl Harbor Remembrance Day
1481155200,Thursday,Feast of the Immaculate Conception
1481241600,Friday,International Anti-Corruption Day
1481328000,Saturday,Human Rights Day
1481414400,Sunday,International Mountain Day
1481500800,Monday,The Prophet's Birthday
1481500800,Monday,Feast of Our Lady of Guadalupe
1481587200,Tuesday,U.S. National Guard Birthday
1481932800,Saturday,Pan American Aviation Day
1481932800,Saturday,Wright Brothers Day
1482019200,Sunday,International Migrants Day
1482019200,Sunday,Arabic Language Day
1482192000,Tuesday,International Human Solidarity Day
1482278400,Wednesday,December Solstice
1482451200,Friday,Christmas Eve observed
1482537600,Saturday,Christmas Eve
1482537600,Saturday,Christmas Eve
1482624000,Sunday,Chanukah/Hanukkah (first day)
1482624000,Sunday,Christmas Day
1482710400,Monday,Kwanzaa (until Jan 1)
1482710400,Monday,Christmas Day observed
1482710400,Monday,Day After Christmas Day
1483056000,Friday,New Year's Eve observed
1483142400,Saturday,New Year's Eve
1483142400,Saturday,New Year's Eve
